URL,Product Name,ASIN,Variant
https://www.amazon.in/iQOO-Storage-Ultra-Thin-Dimesity-Processor/dp/B07WFPL9PB/,"iQOO Z9s 5G (Onyx Green, 8GB RAM, 128GB Storage) | 120 Hz 3D Curved AMOLED Display | 5500 mAh Ultra-Thin Battery | Dimesity 7300 5G Processor | Sony IMX882 OIS Camera with Aura Light : Amazon.in",B07WFPL9PB,"Size: 8GB RAM, 128GB Storage, Color: Onyx Green (ASIN: B07WHS35V6)"
https://www.amazon.in/iQOO-Storage-Ultra-Thin-Dimesity-Processor/dp/B07WFPL9PB/,"iQOO Z9s 5G (Onyx Green, 8GB RAM, 128GB Storage) | 120 Hz 3D Curved AMOLED Display | 5500 mAh Ultra-Thin Battery | Dimesity 7300 5G Processor | Sony IMX882 OIS Camera with Aura Light : Amazon.in",B07WFPL9PB,"Size: 8GB RAM, 128GB Storage, Color: Titanium Matte (ASIN: B07WHRZRD7)"
https://www.amazon.in/iQOO-Storage-Ultra-Thin-Dimesity-Processor/dp/B07WFPL9PB/,"iQOO Z9s 5G (Onyx Green, 8GB RAM, 128GB Storage) | 120 Hz 3D Curved AMOLED Display | 5500 mAh Ultra-Thin Battery | Dimesity 7300 5G Processor | Sony IMX882 OIS Camera with Aura Light : Amazon.in",B07WFPL9PB,"Size: 8GB RAM, 256GB Storage, Color: Onyx Green (ASIN: B07WHS35V6)"
https://www.amazon.in/iQOO-Storage-Ultra-Thin-Dimesity-Processor/dp/B07WFPL9PB/,"iQOO Z9s 5G (Onyx Green, 8GB RAM, 128GB Storage) | 120 Hz 3D Curved AMOLED Display | 5500 mAh Ultra-Thin Battery | Dimesity 7300 5G Processor | Sony IMX882 OIS Camera with Aura Light : Amazon.in",B07WFPL9PB,"Size: 8GB RAM, 256GB Storage, Color: Titanium Matte (ASIN: B07WHRZRD7)"
https://www.amazon.in/6-7-inch-Quad-Curved-Display-AI-Powered-MagicOS/dp/B0D6VJ6FYG/,"HONOR 200 5G (Black, 8GB + 256GB) | 6.7-inch AMOLED Quad-Curved Display | Dual OIS 50MP + 50MP + 12MP Camera | 50MP Selfie Camera | AI-Powered MagicOS 8.0 | Without Charger : Amazon.in: Electronics",B0D6VJ6FYG,"Size: 8GB + 256GB, Color: Black (ASIN: B0D6VJ6FYG)"
https://www.amazon.in/6-7-inch-Quad-Curved-Display-AI-Powered-MagicOS/dp/B0D6VJ6FYG/,"HONOR 200 5G (Black, 8GB + 256GB) | 6.7-inch AMOLED Quad-Curved Display | Dual OIS 50MP + 50MP + 12MP Camera | 50MP Selfie Camera | AI-Powered MagicOS 8.0 | Without Charger : Amazon.in: Electronics",B0D6VJ6FYG,"Size: 8GB + 256GB, Color: Moonlight White (ASIN: B0D6VGQDF4)"
https://www.amazon.in/6-7-inch-Quad-Curved-Display-AI-Powered-MagicOS/dp/B0D6VJ6FYG/,"HONOR 200 5G (Black, 8GB + 256GB) | 6.7-inch AMOLED Quad-Curved Display | Dual OIS 50MP + 50MP + 12MP Camera | 50MP Selfie Camera | AI-Powered MagicOS 8.0 | Without Charger : Amazon.in: Electronics",B0D6VJ6FYG,"Size: 12GB + 512GB, Color: Black (ASIN: B0D6VJCZW3)"
https://www.amazon.in/6-7-inch-Quad-Curved-Display-AI-Powered-MagicOS/dp/B0D6VJ6FYG/,"HONOR 200 5G (Black, 8GB + 256GB) | 6.7-inch AMOLED Quad-Curved Display | Dual OIS 50MP + 50MP + 12MP Camera | 50MP Selfie Camera | AI-Powered MagicOS 8.0 | Without Charger : Amazon.in: Electronics",B0D6VJ6FYG,"Size: 12GB + 512GB, Color: Moonlight White (ASIN: B0D6VGQDF4)"
https://www.amazon.in/dp/B0DMFD8L7J/,"realme GT 7 Pro (Mars Orange,12GB+256GB) | India's First Snapdragon 8 Elite Processor | 3X Periscope Flagship Camera| RealWorld Eco² OLED Plus Display : Amazon.in",B0DMFD8L7J,No variants found
https://www.amazon.in/Samsung-Daybreak-Storage-Corning-Gorilla/dp/B0D8123CLN/,"Samsung Galaxy M35 5G (Daybreak Blue,6GB RAM,128GB Storage)| Corning Gorilla Glass Victus+| AnTuTu Score 595K+ | Vapour Cooling Chamber | 6000mAh Battery | 120Hz Super AMOLED Display| Without Charger",B0D8123CLN,No variants found
https://www.amazon.in/dp/B0CMD957XQ/,Pikkme Moto G54 5G / G64 5G Flip Cover Leather Finish | Wallet Stand and Shock Proof | Inside TPU with Card Pockets | Complete Protection Flip Case (Blue),B0CMD957XQ,Color: Black (ASIN: B0CMD7BKM1)
https://www.amazon.in/dp/B0CMD957XQ/,Pikkme Moto G54 5G / G64 5G Flip Cover Leather Finish | Wallet Stand and Shock Proof | Inside TPU with Card Pockets | Complete Protection Flip Case (Blue),B0CMD957XQ,Color: Blue (ASIN: B0CMD957XQ)
https://www.amazon.in/dp/B0CMD957XQ/,Pikkme Moto G54 5G / G64 5G Flip Cover Leather Finish | Wallet Stand and Shock Proof | Inside TPU with Card Pockets | Complete Protection Flip Case (Blue),B0CMD957XQ,Color: Brown (ASIN: B0CMD7C5VY)
